,a_x_mean,a_y_mean,a_z_mean,a_x_median,a_y_median,a_z_median,a_x_max,a_y_max,a_z_max,a_x_min,a_y_min,a_z_min,a_x_diff,a_y_diff,a_z_diff,g_x_mean,g_y_mean,g_z_mean,g_x_median,g_y_median,g_z_median,g_x_max,g_y_max,g_z_max,g_x_min,g_y_min,g_z_min,g_x_diff,g_y_diff,g_z_diff,o_x_mean,o_y_mean,o_z_mean,o_x_median,o_y_median,o_z_median,o_x_max,o_y_max,o_z_max,o_x_min,o_y_min,o_z_min,o_x_diff,o_y_diff,o_z_diff,fallen
248,1.7247524752475254,-4.688118811881188,3.874257425742575,1.0,-3.7,3.7,17.8,0.6,27.2,-8.6,-18.1,-9.9,26.4,18.700000000000003,37.1,-0.10297029702970295,-0.10000000000000002,0.012871287128712924,-0.0,0.0,0.0,4.1,3.9,2.1,-5.6,-2.9,-3.9,9.7,6.8,6.0,-0.37326732673267404,-0.1346534653465348,0.008910891089108926,-0.4,-0.3,-0.0,-0.1,0.3,0.3,-0.6,-0.5,-0.3,0.5,0.8,0.6,0
249,-6.227884615384615,-5.173076923076926,2.820192307692307,-6.9,-5.15,2.0,8.2,6.6,28.4,-14.0,-18.8,-7.9,22.2,25.4,36.3,-0.22211538461538466,-0.013461538461538473,0.05480769230769227,-0.1,0.35,0.0,3.0,2.7,4.3,-6.1,-4.3,-1.6,9.1,7.0,5.9,-0.42692307692307685,0.33846153846153837,0.1249999999999998,-0.45,0.4,0.1,-0.1,0.5,0.2,-0.6,-0.1,-0.1,0.5,0.6,0.30000000000000004,0
250,5.538053097345133,-5.34070796460177,2.328318584070796,6.8,-5.8,1.2,10.7,9.0,18.0,-3.5,-13.1,-7.8,14.2,22.1,25.8,-0.00442477876106194,-0.004424778761061929,-0.04070796460176988,0.0,-0.1,0.0,5.5,2.0,1.2,-4.9,-1.8,-1.7,10.4,3.8,2.9,0.28318584070796426,0.4867256637168149,-0.24247787610619417,0.3,0.6,-0.2,0.6,0.6,-0.2,-0.2,-0.1,-0.5,0.8,0.7,0.3,0
251,3.211392405063291,-5.336708860759497,2.4949367088607604,2.7,-6.3,3.4,11.9,3.6,16.9,-11.6,-14.0,-9.6,23.5,17.6,26.5,0.04683544303797468,0.02531645569620256,0.02278481012658226,-0.1,-0.1,0.0,7.4,6.1,3.3,-6.2,-2.6,-2.1,13.600000000000001,8.7,5.4,0.4594936708860756,-0.11898734177215185,0.48227848101265836,0.7,-0.1,0.5,0.8,0.1,0.6,-0.2,-0.3,0.3,1.0,0.4,0.3,0
252,-4.433561643835617,-5.87123287671233,0.43150684931506855,-4.0,-6.7,1.15,0.8,3.3,10.1,-11.4,-14.4,-11.1,12.200000000000001,17.7,21.2,0.04794520547945196,-0.06369863013698628,0.05684931506849318,-0.1,0.05,0.0,5.4,2.7,4.0,-4.3,-4.2,-2.4,9.7,6.9,6.4,-0.42739726027397257,-0.39931506849315085,0.6047945205479452,-0.5,-0.4,0.6,0.1,0.1,0.8,-0.8,-0.9,0.2,0.9,1.0,0.6000000000000001,0
253,-3.4521212121212144,-5.99939393939394,0.19393939393939438,-3.4,-6.9,0.7,4.6,4.9,10.4,-14.3,-14.5,-9.7,18.9,19.4,20.1,0.0018181818181818709,0.05333333333333341,0.059999999999999915,-0.0,-0.0,-0.0,8.3,2.6,4.1,-6.7,-2.3,-1.9,15.0,4.9,6.0,-0.0648484848484848,0.5684848484848494,-0.6078787878787879,-0.1,0.6,-0.6,0.3,0.9,-0.2,-0.4,-0.3,-1.0,0.7,1.2,0.8,0
254,-3.9444444444444478,-6.251851851851851,1.9325925925925924,-4.2,-7.1,2.2,6.0,1.0,9.3,-11.1,-12.1,-7.6,17.1,13.1,16.9,0.029629629629629624,0.05851851851851853,-0.015555555555555543,0.0,-0.0,0.0,7.9,1.8,2.5,-4.4,-2.0,-1.8,12.3,3.8,4.3,0.2074074074074074,-0.5133333333333326,0.4962962962962965,0.2,-0.5,0.5,0.5,-0.1,0.8,-0.2,-0.8,0.1,0.7,0.7000000000000001,0.7000000000000001,0
255,-3.9568807339449545,-5.069724770642203,2.298165137614679,-3.8,-6.6,2.1,10.2,7.3,12.6,-14.2,-14.6,-7.5,24.4,21.9,20.1,0.06238532110091731,-0.050458715596330285,-0.045871559633027525,0.0,0.0,-0.0,6.3,2.3,2.9,-7.5,-2.3,-3.8,13.8,4.6,6.699999999999999,-0.4293577981651376,-0.18623853211009164,0.5706422018348627,-0.5,-0.2,0.6,0.3,0.3,0.8,-0.8,-0.5,0.3,1.1,0.8,0.5,0
256,-6.554644808743167,-4.281420765027322,0.7896174863387975,-8.6,-3.8,0.6,0.9,4.5,9.4,-14.6,-13.8,-9.9,15.5,18.3,19.3,0.020765027322404393,4.3680905886891404e-17,0.042076502732240464,-0.0,0.0,0.0,8.4,4.3,4.2,-5.5,-5.0,-3.9,13.9,9.3,8.1,-0.38032786885245967,-0.42896174863388004,0.6841530054644818,-0.5,-0.4,0.7,0.1,0.2,0.9,-0.6,-0.9,0.3,0.7,1.1,0.6000000000000001,0
257,-2.5424242424242434,-5.815151515151515,-1.2696969696969678,-1.6,-7.6,-2.2,1.3,5.7,9.7,-13.9,-12.6,-10.9,15.200000000000001,18.3,20.6,0.009696969696969756,0.03636363636363636,0.006666666666666642,0.0,-0.0,0.0,4.8,1.9,3.1,-4.5,-1.1,-1.8,9.3,3.0,4.9,-0.621212121212121,-0.030909090909090917,0.1472727272727272,-0.8,0.0,0.2,0.3,0.4,0.6,-1.0,-0.4,-0.1,1.3,0.8,0.7,0
258,-5.603896103896104,-5.759740259740259,0.8571428571428571,-4.6,-6.55,1.3,-0.0,1.1,11.2,-10.3,-11.6,-7.2,10.3,12.7,18.4,-0.02987012987012982,0.0019480519480519428,0.024675324675324697,0.0,0.0,-0.0,4.7,1.2,2.2,-4.9,-2.1,-1.3,9.600000000000001,3.3,3.5,-0.5532467532467528,0.2019480519480521,0.20714285714285735,-0.5,0.1,0.2,-0.0,0.5,0.3,-0.9,-0.1,0.0,0.9,0.6,0.3,0
259,-5.075510204081636,-4.909523809523809,-1.0748299319727885,-3.8,-5.8,-1.3,1.6,5.9,10.0,-15.6,-13.0,-9.5,17.2,18.9,19.5,-0.017687074829931895,-0.07414965986394564,0.11088435374149667,-0.1,-0.0,-0.0,14.6,3.1,4.5,-6.6,-4.6,-2.7,21.2,7.699999999999999,7.2,0.44625850340136053,0.45646258503401366,-0.5721088435374152,0.5,0.5,-0.6,0.8,0.9,-0.2,-0.2,-0.2,-0.8,1.0,1.1,0.6000000000000001,0
260,-3.9846153846153833,-6.11118881118881,-0.30279720279720246,-2.8,-7.1,0.4,1.8,0.9,9.8,-16.4,-12.9,-11.3,18.2,13.8,21.1,-0.005594405594405627,-0.020279720279720276,0.022377622377622385,0.0,-0.1,0.0,7.0,3.2,4.6,-4.6,-2.3,-2.6,11.6,5.5,7.199999999999999,0.07412587412587408,0.6174825174825176,-0.6006993006993004,0.1,0.6,-0.6,0.7,1.0,-0.2,-0.3,0.0,-1.0,1.0,1.0,0.8,0
261,-4.235897435897436,-5.924358974358976,-2.2839743589743593,-3.6,-6.85,-4.2,1.1,4.5,9.2,-14.2,-22.7,-9.0,15.299999999999999,27.2,18.2,-0.022435897435897318,0.06858974358974357,-0.015384615384615379,0.1,0.0,0.0,10.6,1.9,4.0,-7.0,-0.7,-3.2,17.6,2.5999999999999996,7.2,0.5724358974358977,-0.3724358974358976,0.08205128205128204,0.6,-0.4,0.1,0.9,0.2,0.7,-0.2,-0.7,-0.4,1.1,0.8999999999999999,1.1,0
262,-2.173684210526315,-5.819298245614036,2.812280701754385,-3.1500000000000004,-5.9,4.3,8.7,3.6,9.4,-7.2,-13.9,-9.4,15.899999999999999,17.5,18.8,0.035964912280701804,0.006140350877192996,0.06666666666666668,0.0,0.0,0.1,10.0,2.4,2.5,-4.4,-3.3,-5.2,14.4,5.699999999999999,7.7,-0.09473684210526293,0.48596491228070243,-0.7175438596491234,-0.1,0.45,-0.8,0.3,0.9,-0.1,-0.4,0.2,-1.0,0.7,0.7,0.9,0
263,4.533035714285716,-5.763392857142859,4.425000000000001,4.2,-5.85,5.65,11.3,0.7,10.7,0.6,-10.6,-11.2,10.700000000000001,11.299999999999999,21.9,-0.06434782608695644,-0.05304347826086959,0.056521739130434796,0.0,0.0,0.0,3.1,0.7,3.2,-2.9,-1.5,-2.7,6.0,2.2,5.9,-0.08521739130434766,0.45478260869565157,-0.7686956521739127,-0.1,0.4,-0.8,0.1,0.9,-0.4,-0.4,0.1,-1.0,0.5,0.8,0.6,0
264,-5.167499999999999,-5.173333333333332,0.8241666666666665,-5.4,-6.4,0.1,1.5,5.5,11.8,-15.5,-17.2,-11.6,17.0,22.7,23.4,-0.01666666666666659,-0.07416666666666669,0.055000000000000056,0.1,0.0,-0.0,6.6,1.8,5.8,-7.6,-2.3,-2.7,14.2,4.1,8.5,0.27249999999999985,-0.46499999999999986,0.34749999999999953,0.3,-0.5,0.2,0.7,0.3,0.9,-0.1,-0.9,-0.1,0.7999999999999999,1.2,1.0,0
265,-6.050000000000002,-4.165671641791048,0.8462686567164177,-5.55,-5.45,1.05,-1.3,5.5,9.5,-14.3,-10.0,-8.4,13.0,15.5,17.9,-0.034328358208955224,0.011940298507462727,0.05597014925373138,-0.0,0.0,-0.0,5.1,1.8,2.9,-4.3,-1.5,-1.5,9.399999999999999,3.3,4.4,-0.4126865671641792,-0.38134328358208935,0.684328358208956,-0.4,-0.3,0.7,-0.0,0.2,0.9,-0.6,-0.9,0.3,0.6,1.1,0.6000000000000001,0
