,a_x_mean,a_y_mean,a_z_mean,a_x_median,a_y_median,a_z_median,a_x_max,a_y_max,a_z_max,a_x_min,a_y_min,a_z_min,a_x_diff,a_y_diff,a_z_diff,g_x_mean,g_y_mean,g_z_mean,g_x_median,g_y_median,g_z_median,g_x_max,g_y_max,g_z_max,g_x_min,g_y_min,g_z_min,g_x_diff,g_y_diff,g_z_diff,o_x_mean,o_y_mean,o_z_mean,o_x_median,o_y_median,o_z_median,o_x_max,o_y_max,o_z_max,o_x_min,o_y_min,o_z_min,o_x_diff,o_y_diff,o_z_diff,fallen
0,-4.490734824281149,-2.200638977635784,6.536102236421722,-1.5,-2.3,8.8,39.2,11.9,39.2,-38.8,-39.2,-21.1,78.0,51.1,60.300000000000004,-0.16837060702875406,-0.06389776357827481,0.08434504792332266,0.0,0.0,-0.0,3.8,5.4,4.0,-6.9,-11.7,-6.9,10.7,17.1,10.9,-0.19904153354632642,0.20702875399360998,0.2479233226837056,-0.1,-0.0,0.3,0.1,0.8,0.5,-0.5,-0.0,-0.3,0.6,0.8,0.8,1
1,-5.198310810810812,-2.154054054054052,5.238851351351352,-5.95,-3.5,4.9,13.0,32.2,39.2,-38.8,-24.5,-37.0,51.8,56.7,76.2,-0.015540540540540475,-0.059121621621621635,0.22432432432432425,0.0,0.0,0.0,5.6,5.9,5.4,-5.2,-7.7,-5.7,10.8,13.600000000000001,11.100000000000001,-0.10540540540540565,0.34189189189189084,-0.19628378378378494,-0.2,0.4,-0.1,0.3,0.6,-0.0,-0.4,-0.1,-0.9,0.7,0.7,0.9,1
2,-3.553719008264463,-2.8830578512396685,5.513636363636358,-0.8500000000000001,-3.6,8.6,29.4,11.8,39.2,-38.7,-19.2,-12.7,68.1,31.0,51.900000000000006,-0.11742738589211618,-0.05435684647302905,0.06307053941908708,-0.0,-0.0,0.0,7.8,5.2,4.5,-7.7,-10.4,-4.9,15.5,15.600000000000001,9.4,0.16611570247933882,0.26611570247933997,-0.8537190082644631,0.0,0.2,-1.0,0.7,0.6,-0.4,-0.1,-0.1,-1.0,0.7999999999999999,0.7,0.6,1
3,-3.540096618357485,-1.22826086956522,5.546135265700481,-1.8,-2.0,6.9,37.6,33.9,39.2,-38.9,-24.4,-31.9,76.5,58.3,71.1,0.004347826086956507,-0.027777777777777766,0.024879227053140114,0.0,0.0,0.0,6.7,6.3,3.9,-5.8,-14.8,-6.8,12.5,21.1,10.7,0.06593137254901986,0.20073529411764576,-0.7075980392156828,0.1,0.3,-0.7,0.6,0.6,-0.2,-0.3,-0.5,-1.0,0.8999999999999999,1.1,0.8,1
4,-8.35140186915886,-2.2753894080996853,3.6034267912772546,-8.7,-1.8,4.4,39.2,33.4,39.2,-38.8,-23.7,-39.1,78.0,57.099999999999994,78.30000000000001,-0.10155763239875394,-0.029283489096573228,0.09439252336448593,0.0,0.0,-0.0,4.1,4.2,3.8,-5.4,-4.8,-2.9,9.5,9.0,6.699999999999999,0.47632398753894134,0.19595015576324068,-0.7881619937694753,0.5,0.1,-0.8,0.7,0.5,-0.6,0.1,-0.1,-0.9,0.6,0.6,0.30000000000000004,1
5,-4.5663636363636195,-1.4821212121212097,6.390909090909092,-1.3,-2.7,8.6,13.4,29.4,39.2,-38.9,-37.8,-33.4,52.3,67.19999999999999,72.6,-0.06996904024767801,-0.05356037151702785,0.012074303405572756,-0.0,-0.0,0.0,3.6,8.1,2.9,-7.0,-9.8,-8.6,10.6,17.9,11.5,-0.12265861027190333,-0.24743202416918517,0.7830815709969811,0.0,-0.2,0.9,0.2,0.2,1.0,-0.5,-0.6,0.3,0.7,0.8,0.7,1
6,-3.437755102040814,1.2251700680272104,6.8125850340136065,-1.25,2.2,8.5,10.0,39.0,31.5,-38.9,-20.1,-12.6,48.9,59.1,44.1,-0.11632653061224493,-0.06428571428571425,0.02551020408163255,0.0,0.0,-0.0,3.0,3.5,4.9,-5.8,-2.9,-3.2,8.8,6.4,8.100000000000001,0.1656462585034012,0.17721088435374144,-0.45034013605442363,0.2,0.1,-0.5,0.4,0.6,0.1,-0.0,-0.2,-1.0,0.4,0.8,1.1,1
7,-3.9522193211487995,-2.644125326370752,5.722976501305481,-1.6,-4.4,8.6,36.3,11.6,38.4,-38.7,-39.2,-19.6,75.0,50.800000000000004,58.0,-0.06109660574412532,-0.07597911227154047,0.051958224543080925,-0.0,-0.0,0.0,5.1,1.8,4.1,-7.5,-5.7,-5.3,12.6,7.5,9.399999999999999,0.2958224543080957,-0.0462140992167098,-0.46840731070495784,0.2,-0.0,-0.6,0.7,0.2,0.3,-0.3,-0.3,-0.6,1.0,0.5,0.8999999999999999,1
8,-3.0362606232294667,-2.8529745042492882,6.747308781869682,-0.7,-3.6,8.5,10.1,14.4,38.9,-38.9,-31.4,-33.3,49.0,45.8,72.19999999999999,-0.03002832861189799,0.015297450424929184,0.02011331444759207,0.0,0.0,-0.0,2.6,6.0,2.6,-4.0,-4.8,-4.7,6.6,10.8,7.300000000000001,-0.19660056657223754,0.1855524079320115,-0.037960339943342664,-0.3,0.1,-0.1,0.1,0.7,0.2,-0.4,-0.1,-0.3,0.5,0.7999999999999999,0.5,1
9,-5.502302631578947,-0.0006578947368421892,5.859539473684211,-3.4,0.7,8.7,15.7,38.9,38.4,-38.9,-25.8,-24.8,54.599999999999994,64.7,63.2,-0.19046052631578939,0.009868421052631611,-0.0832236842105262,0.0,0.0,0.0,12.1,3.5,5.6,-13.1,-6.6,-6.9,25.2,10.1,12.5,0.3134868421052649,-0.009539473684210533,-0.7345394736842129,0.2,-0.0,-0.7,0.7,0.2,-0.3,-0.1,-0.3,-1.0,0.7999999999999999,0.5,0.7,1
